,Период,Сеть,Категория,Категория 2,Поставщик,Бренд,Наименование,УНИ Наименование,Граммовка,Вкусы,"Продажи, шт ","Продажи, руб ","Продажи, тонн ","Себест., руб "
100,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,Bruto NPC,BRUTO Чипсы из нат.карт.вк.см/лука 130г,BRUTO NPC Сметана и лук 120г,130,Сметана и лук,2,217.48,0.00026,145.524
101,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,Bruto NPC,BRUTO Чипсы из нат.карт.вк.смет/зел.120г,BRUTO NPC Сметана и зелень 120г,120,Сметана и зелень,9816,972096.3300000005,1.1779200000000005,563760.7560000002
102,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,Bruto NPC,BRUTO Чипсы из нат.карт.вкус.папр.120г,BRUTO NPC Паприка 120г,120,Паприка,28503,2890591.480000002,3.4203600000000005,1619683.6559999997
103,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,Bruto NPC,BRUTO Чипсы из нат.карт.со вк.краба 120г,BRUTO NPC Краб 120г,120,Краб,14598,1461926.699999999,1.7517600000000006,838212.0000000007
104,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,BRUTO КРАФТ,BRUTO Чипсы из нат.карт.вк.Чесн/тр.120г,Bruto КРАФТ Чеснок и травы 120г,120,Чеснок и травы,4025,667961.9000000003,0.483,308466.20399999985
105,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,BRUTO КРАФТ,BRUTO Чипсы из нат.карт.с мор.солью 120г,Bruto КРАФТ Морская соль 120г,120,Соль,16388,2361005.1299999985,1.9665600000000003,1014020.7120000002
106,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,BRUTO КРАФТ,BRUTO Чипсы из нат.карт.с томат/укр.120г,Bruto КРАФТ Томат и укроп 120г,120,Томат и укроп,3362,550333.6900000004,0.4034399999999999,256002.576
107,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,BRUTO КРАФТ,BRUTO Чипсы нат.карт.мор.с/чер.пер.120г,Bruto КРАФТ Морская соль и перец 120г,120,Соль и перец черный,11823,1693861.3099999987,1.4187600000000014,734510.5560000001
108,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,"ООО ""ТРЕЙДБЕРРИ""",ВКУСЫ МИРА,ВКУСЫ МИРА Чипсы карт.вк.Зап.том.зел.75г,ВКУСЫ МИРА Запеченные томаты с зеленью 75г,75,Томат и зелень,278,34902.320000000014,0.020850000000000014,17056.968
109,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,"ООО ""ТРЕЙДБЕРРИ""",ВКУСЫ МИРА,ВКУСЫ МИРА Чипсы карт.вк.См-л.с.зел.75г,ВКУСЫ МИРА Сметана и лук 75г,75,Сметана и лук,533,63460.22000000004,0.03997499999999998,32733.419999999966
110,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,"ООО ""ФЛЕКС ФУДЗ""",Flat Food,FL.FOOD Чипсы картоф.с сол/чер.перц.100г,Flat Food Соль и черный перец 100г,100,Соль и перец черный,8719,727848.9499999998,0.8718999999999978,417091.59600000014
111,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,"ООО ""ФЛЕКС ФУДЗ""",Flat Food,FL.FOOD Чипсы картоф.с солью 100г,Flat Food Соль 100г,100,Соль,12381,1031405.5399999977,1.2380999999999944,590661.8880000011
112,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Клин Снек,Пакет картошки,ГАН/ЛЕБ.Чипсы картофельные с солью 100г,Пакет картошки Соль 100г,100,Соль,5883,707826.6399999986,0.5882999999999992,347991.4679999998
113,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Клин Снек,Пакет картошки,ГАН/ЛЕБ.Чипсы картофельные с томат.100г,Пакет картошки Томат 100г,100,Томат,4085,526559.2699999991,0.40849999999999975,272395.94400000037
114,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Клин Снек,Пакет картошки,ПАК.КАРТ.Чипсы карт.со вкус.Коп.лос.100г,Пакет картошки Копченая лосось 100г,100,Лосось,1197,156602.29000000012,0.11970000000000039,77178.27599999995
115,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,"ООО ""ЭВЕРЕСТ""",REEEL,REEEL Чипсы карт.с розов.гим.солью 45г,REEEL розовая гималайская соль 45г,45,Соль,5495,340760.6300000002,0.24727500000000052,197471.1359999993
116,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,"ООО ""ЭВЕРЕСТ""",REEEL,REEEL Чипсы карт.со вк.Сыр Пармезан 45г,REEEL Сыр пармезан 45г,45,Сыр,8140,504508.0699999999,0.3663000000000007,292789.77599999984
117,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,"ООО ""ЭВЕРЕСТ""",REEEL,REEEL Чипсы карт.со вкус.Смет/зелень 45г,REEEL Сетана и зелен 45г,45,Сметана и зелень,8087,493789.70999999996,0.36391500000000016,291031.4759999996
118,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,"ООО ""ЭВЕРЕСТ""",REEEL,REEEL Чипсы карт.со вкусом Карпаччо 45г,REEEL Карпаччо 45г,45,Карпаччо,8217,506523.9599999995,0.36976499999999995,295860.3839999996
119,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Собственный импорт ЗАО ТД Перекресток,EL VALLE,EL VALLE Чипсы карт.со вк.Тикка Мас.125г,EL VALLE Тикка масала 125г,125,Тикка масала,1597,353081.6199999999,0.19962499999999944,222589.27199999985
120,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Собственный импорт ЗАО ТД Перекресток,EL VALLE,EL VALLE Чипсы карт.со вк.том.со сп.125г,EL VALLE Томат и специи 125г,125,Томат и специи,1831,409005.60999999987,0.2288749999999993,255109.1159999995
121,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Собственный импорт ЗАО ТД Перекресток,EL VALLE,EL VALLE Чипсы карт.со вк.чили&лайм 125г,EL VALLE Чили и лайм 125г,125,Чили и лайм,1931,433281.7299999998,0.24137499999999937,269176.7759999998
122,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Собственный импорт ЗАО ТД Перекресток,EL VALLE,EL VALLE Чипсы картоф.со вк.хам.иб.100г,EL VALLE Хамон 100г,100,Хамон,1393,307328.3800000001,0.13930000000000015,193688.62799999982
123,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Собственный импорт ЗАО ТД Перекресток,EL VALLE,EL VALLE Чипсы картоф.со вк.черн.тр.100г,EL VALLE Трюфель 100г,100,Трюфель,2560,572871.9500000001,0.256,356882.1720000001
124,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК обычные,Собственный импорт ЗАО ТД Перекресток,EL VALLE,EL VALLE Чипсы картофел.вк.сыра Q.C.100г,EL VALLE Сыр 100г,100,Сыр,1539,342786.14999999973,0.1539000000000001,214494.90000000005
125,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Бумажная бумага,EASY PEASY,EASY PEASY Картоф.СО ВК.СЫРА хр.риф.50г,EASY PEASY Сыр 100г,100,Сыр,2,162.98,0.0002,77.34
126,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Бумажная бумага,EASY PEASY,EASY PEASY Картофель риф.вк.бр.майон.50г,EASY PEASY Майонез 50г,50,Майонез,1,58.0,5e-05,37.332
127,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Бумажная бумага,EASY PEASY,EASY PEASY Картофель риф.вк.кетчупа 50г,EASY PEASY Кетчуп 50г,50,Кетчуп,1,109.97,5e-05,54.804
128,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,"ООО ""ГК У АВГУСТА""",Amica Chips,AM.CH.Чипсы GRIGL.карт.риф.пон.с.ж.130г,Amica Chips GRIGLIATA Оригинальные 130г,130,Оригинальные,638,319397.9599999996,0.08294000000000015,165239.4480000001
129,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Лоренц,Crunchips X-Cut,CRUN.Чипсы X-CUT кар.риф.вк.афр.Чак.70г,Crunchips X-Cut риф. Африканская чакалака 70г,70,Чакалака,15819,1443435.8600000006,1.1073300000000001,756832.8720000001
130,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Лоренц,Crunchips X-Cut,CRUN.Чипсы X-CUT кар.риф.вк.паприки 70г,Crunchips X-Cut риф. Паприка 70г,70,Паприка,9604,878383.4299999998,0.67228,458148.16799999966
131,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Лоренц,Crunchips X-Cut,CRUN.Чипсы X-CUT кар.риф.вк.смет/спец70г,Crunchips X-Cut риф. Сметана и специи 70г,70,Сметана и специи,14416,1288458.0199999996,1.0091200000000005,686422.6079999999
132,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Лоренц,Crunchips X-Cut,CRUN.Чипсы X-CUT кар.риф.вк.сыра/лука70г,Crunchips X-Cut риф. Сыр и лук 70г,70,Сыр и лук,6624,598421.4600000004,0.46368,315232.296
133,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,МОСК.КАРТ.Карт.вк.атл.лос.сл.соусе 150г,Московский картофель риф. Антлантический лосось в слив. соусе 150г,150,Лосось и соус сливочный,2563,385465.0999999989,0.3844499999999996,215125.76400000055
134,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,МОСК.КАРТ.Картофель хр.вк.мар.огур.130г,Московский картофель риф. Маринованные огурцы 130г,130,Огурцы маринованные,11,1742.29,0.0014299999999999998,661.452
135,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,МОСК.КАРТ.Картофель хр.вк.смет/зел.150г,Московский картофель риф. Сметана и зелень 150г,150,Сметана и зелень,6207,907541.6199999971,0.9310499999999953,524169.99599999876
136,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,МОСК.КАРТ.Картофель хр.вк.сыра Парм.150г,Московский картофель риф Сыр пармезан 150г,150,Сыр,8481,1289254.2999999975,1.2721499999999997,716821.9079999981
137,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,LAYS Чипсы карт.риф.вкус.лобстера 140г,Lays риф. Лобстер 140г,140,Лобстер,28862,4531003.6199999945,4.040679999999997,2690767.2840000023
138,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,LAYS Чипсы карт.риф.вкус.лос.слив.с.140г,Lays риф. Лосось в слив. соусе 140г,140,Лосось и соус сливочный,78333,12364175.900000008,10.966619999999994,7294880.160000005
139,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,LAYS Чипсы карт.риф.вкус.паприка 140г,Lays риф. Паприка 140г,140,Паприка,45700,7157270.970000006,6.398,4253404.152000003
140,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,LAYS Чипсы нат.кар.риф.вк.Т.ям по-т.125г,Lays риф. Том Ям по тайски 125г,125,Том Ям,2823,568753.0799999993,0.35287499999999805,261431.6280000002
141,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,LAYS Чипсы нат.карт.риф.вк.лобстера 70г,Lays риф. Лобстер 70г,70,Лобстер,22182,2114271.599999999,1.5527399999999982,1152569.0280000004
142,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,LAYS Чипсы нат.карт.риф.вк.Паприка 225г,Lays риф. Паприка 225г,225,Паприка,27006,6345140.120000005,6.076350000000001,3735550.788
143,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,LAYS Чипсы нат.карт.риф.вк.Прян.крев.90г,Lays риф. Пряная креветка 90г,90,Креветки,1112,159204.50999999992,0.10008000000000021,67152.76800000004
144,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays,LAYS Чипсы риф.вкус.Паприка нат.карт.70г,Lays риф. Паприка 70г,70,Паприка,23419,2215222.74,1.6393300000000015,1217321.2920000001
145,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays МАХХ,LAYS Чипсы MAXX нат.кар.вк.гр.сл.с.110г,Lays МАХХ Куриные крылышки барбекю 110г,110,Курица,16872,2564011.489999999,1.8559200000000025,1191124.1760000004
146,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays МАХХ,LAYS Чипсы MAXX нат.кар.вк.кур.кр.б.110г,Lays МАХХ Куриные крылышки барбекю 110г,110,Курица,21291,3258097.69,2.342010000000001,1504578.5760000008
147,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК рифленые,Фрито Лэй,Lays МАХХ,LAYS Чипсы MAXX нат.карт.вк.пиц.4 с.110г,Lays МАХХ Пицца 4 сыра 110г,110,Пицца,18702,2836633.7300000004,2.0572200000000014,1320467.5560000003
148,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК соломка,Белпродукт ООО,Бульба,БУЛЬБА Сол.STIC.вк.кетчупа карт.обж.75г,Бульба Кетчуп 75г,75,Кетчуп,9,1214.92,0.000675,306.888
149,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК соломка,Белпродукт ООО,Бульба,БУЛЬБА Сол.STIC.вк.см/лука карт.обж.75г,Бульба Кетчуп 75г,75,Сметана и лук,28,3149.8899999999994,0.0021,954.804
150,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК соломка,Лоренц,Pomsticks,POMST.Чипсы карт.сол.вкус.смет/спец.200г,Pomsticks Сметана и специи 200г,200,Сметана и специи,11148,2071416.3299999975,2.2295999999999974,1113431.0159999996
151,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК соломка,Лоренц,Pomsticks,POMST.Чипсы карт.сол.с мор.сол/перц.100г,Pomsticks Морская соль и перец 100г,100,Соль и перец черный,864,114345.26000000013,0.08640000000000009,42309.87600000004
152,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК соломка,Лоренц,Pomsticks,POMST.Чипсы карт.соломкой с солью 200г,Pomsticks Соль 200г,200,Соль,7953,1462396.9499999995,1.5905999999999987,797128.7040000005
153,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК соломка,Лоренц,Pomsticks,POMST.Чипсы картоф.сол.вк.сыра/лука 100г,Pomsticks Сыр и лук 100г,100,Сыр и лук,17456,1654461.3999999983,1.7455999999999965,952709.2560000012
154,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК соломка,Лоренц,Pomsticks,Чипсы POMST.карт.солом. с паприкой 100г,Pomsticks Паприка 100г,100,Паприка,23971,2229228.7500000005,2.397099999999999,1285634.4479999987
155,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК соломка,Лоренц,Pomsticks,Чипсы POMST.карт.солом. с солью 100г,Pomsticks Соль 100г,100,Соль,39886,3709670.709999999,3.9886,2143474.1279999986
156,2024-09-01,Перекрёсток,Чипсы картофельные обычные,ЧСК соломка,Лоренц,Pomsticks,Чипсы POMST.карт.солом.смет/спец 100г,Pomsticks Сметана и специи 100г,100,Сметана и специи,25065,2363475.0100000007,2.5065000000000013,1344444.0839999989
157,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузная соломка,Фрито Лэй,CHEETOS,CHEETOS Кукур.палочки КЕТЧУП 85г,CHEETOS Кетчуп 85г,85,Кетчуп,22177,2164833.159999998,1.8850449999999943,1241790.6710000022
158,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузная соломка,Фрито Лэй,CHEETOS,CHEETOS Палочки кук.вкус.Кетчуп 50г,CHEETOS Кетчуп 50г,50,Кетчуп,49243,2841822.0399999996,2.4621500000000007,1712425.3960000002
159,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузная соломка,Юникорн ООО,HOLYCORN,HOLYCORN Снеки кук.Суп.том.вл.кетч.30г,HOLYCORN кук. Кетчуп 50г,30,Кетчуп,11632,840741.9199999977,0.34896000000000005,457522.64799999824
160,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузная соломка,Юникорн ООО,HOLYCORN,HOLYCORN Снеки СЫРН.СЫР кук.вл.соуса 30г,HOLYCORN кук. Сыр 50г,30,Сыр,11190,801075.0099999981,0.3357000000000008,439100.3979999978
161,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные в пачке-чаше,Горячие крендели Север ООО,SALTO,SALTO Чипсы N.БАР.кук.220г+соус100г+салф,SALTO кук. Барбекю  220г+соус100г+салф,220,Барбекю,8903,2437771.2699999963,1.9586600000000096,1620337.4440000022
162,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные в пачке-чаше,Горячие крендели Север ООО,SALTO,SALTO Чипсы N.КЛ.кук.220г+соус100г+салф.,SALTO кук. Оригинальные 220г+соус100г+салф.,220,Оригинальные,6485,1775495.1699999904,1.4267000000000047,1162076.5970000022
163,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные в пачке-чаше,Горячие крендели Север ООО,SALTO,SALTO Чипсы кук.вк.с.н.75г+соус60г+салф.,SALTO кук. Сыр начос 75г+соус60г+салф,75,Сыр,1383,204710.38,0.10372499999999998,97034.31099999997
164,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные в пачке-чаше,Горячие крендели Север ООО,SALTO,SALTO Чипсы кук.вк.том.75г+соус60г+салф.,SALTO кук. Томат 75г+соус60г+салф,75,Томат,988,146552.42000000013,0.0741,67962.24600000001
165,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,DELICAD.Чипсы NACH.с кус.ол/пап.кук.150г,Delicados кук. С кусочками оливок и паприкой 150г,150,Паприка и оливки,41547,4569277.730000003,6.232050000000008,1962040.1569999994
166,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,DELICAD.Чипсы кукур.вкус.соуса Ранч 150г,Delicados кук. Соус ранч 150г,150,Соус Ранч,34712,3819143.2099999986,5.206800000000002,1688405.664000001
167,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,DELICAD.Чипсы НАЧ.кук.со вк.Лобс.150г,Delicados кук. С кусочками оливок и лобстером 150г,150,Лобстер и оливки,268,31703.21000000001,0.040200000000000014,13297.746000000001
168,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,DELICAD.Чипсы НАЧ.кук.со вк.Пик.сал.150г,Delicados кук. Пикантная сальса-чили 150г,150,Соус сальса,215,25220.54,0.03225000000000002,10628.31
169,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,DELICAD.Чипсы НАЧОС кук.вк.Бург.Воп.140г,Delicados кук. Бургер воппер 140г,140,Бургер Воппер,53845,5023303.6800000025,7.538299999999994,2714920.0539999907
170,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,DELICAD.Чипсы НАЧОС кук.вк.омар ср.100г,Delicados кук. Омар средиземноморский 100г,100,Омар,297,25545.070000000003,0.029700000000000008,11051.590000000002
171,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,DELICAD.Чипсы НАЧОС кук.вк.стейк ар.100г,Delicados кук. Стейк аргентийский 100г,100,Стейк,107,9313.519999999999,0.0107,3997.8399999999997
172,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,DELICAD.Чипсы НАЧОС кукур.ориг.150г,Delicados кук. Оригинальные 150г,150,Оригинальные,24937,2791032.9800000046,3.7405500000000016,1182695.778000001
173,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Delicados,DELICAD.Чипсы НАЧОС кукур.с/вк.сыр 150г,Delicados кук. Сыр 150г,150,Сыр,35424,3924756.680000002,5.313600000000012,1770087.550000001
174,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Mission,MISSION Чипсы кук.вк.лисички сметан.150г,MISSION кук. Лисички со сметаной 150г,150,Сметана и Грибы Лисички,614,59667.27000000002,0.09209999999999997,23905.144999999986
175,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Mission,MISSION Чипсы кукур.вкус.смет/лука 90г,MISSION кук.Сметана и лук 90г,90,Сметана и лук,7864,610924.6399999999,0.707760000000001,268506.007
176,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Mission,MISSION Чипсы кукур.со вкус.барбекю 90г,MISSION кук. Барбекю 90г,90,Барбекю,2,131.97,0.00018,58.872
177,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Mission,MISSION Чипсы кукур.со вкус.краб кам.90г,MISSION кук. Камчатский краб 90г,90,Краб,3645,240151.8200000002,0.3280500000000011,144339.63499999986
178,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Mission,MISSION Чипсы кукур.со вкус.томатов 90г,MISSION кук. Томат 90г,90,Томат,40,3007.3599999999997,0.0035999999999999995,1556.7089999999998
179,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Mission,MISSION Чипсы кукурузн.со вк.бекона 150г,MISSION кук. Бекон 150г,150,Бекон,28792,2127634.4599999986,4.3187999999999995,1229215.075000001
180,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Mission,MISSION Чипсы кукурузные вк.томатов 150г,MISSION кук. Томат 150г,10,Томат,547,53747.27000000003,0.005469999999999999,21411.246999999985
181,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Мишн Фудс Ступино ООО,Mission,MISSION Чипсы кукурузные со вк.сыра 150г,MISSION кук. Сыр чеддер 150г,150,Сыр,34998,2553243.8699999973,5.2497000000000025,1490752.801999999
182,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Снэк Компани ООО,Carambas,CARAMBAS Чипсы БЕКОН кукур.150г,CARAMBAS кук. Бекон 150г,150,Бекон,1272,145219.08000000007,0.19079999999999991,74732.18500000003
183,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Снэк Компани ООО,Carambas,CARAMBAS Чипсы ОРИГИНАЛ кукур.150г,CARAMBAS кук. Оригинальные 150г,150,Оригинальные,2749,325600.44999999984,0.4123500000000001,161066.49899999995
184,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Снэк Компани ООО,Carambas,CARAMBAS Чипсы СМЕТАНА ЛУК кукур.150г,CARAMBAS кук. Сметана и лук 150г,150,Сметана и лук,5907,653927.749999999,0.8860499999999981,346823.36699999974
185,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Снэк Компани ООО,Carambas,CARAMBAS Чипсы СЫР НАЧ.кукур.150г,Carambas кук. Сыр 150г,150,Сыр,7063,779834.2699999987,1.0594499999999984,415003.2479999999
186,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Энджой Фуд,MacGuffin,MACGUF.Чипсы вк.барб.кукур.сыр.соус.185г,MacGuffin Барбекю с сырным соусом 185г,185,Барбекю и соус сырный,56,15723.869999999999,0.01036,6187.104
187,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные начос,Энджой Фуд,MacGuffin,MACGUF.Чипсы кукур.соус.острый сал.185г,MacGuffin Соус острый сальса 185г,185,Соус острый сальса,200,52033.62,0.037,22096.80000000002
188,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,CHEETOS Кукур.палочки СЫР 85г,CHEETOS кук. Сыр  85г,85,Сыр,34719,3405820.520000003,2.9511149999999953,1944471.9689999989
189,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,CHEETOS Палочки кук.вкус.Сыр 50г,CHEETOS кук. Сыр 50г,50,Сыр,77526,4478578.499999996,3.8762999999999996,2690081.9440000043
190,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,CHEETOS Снеки кук.вкус.Ветчина и сыр 50г,CHEETOS кук. Ветчина и сыр 50г,50,Сыр и ветчина,17781,1031403.3499999988,0.88905,616514.6680000005
191,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,CHEETOS Снеки кукур.со вкусом Краб 50г,CHEETOS кук. Краб 50г,50,Краб,10570,614884.1299999998,0.5284999999999994,366614.29199999984
192,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,CHEETOS Снеки кукуруз.со вкусом Краб 85г,CHEETOS кук. Краб 85г,85,Краб,6789,657003.2299999996,0.5770650000000027,380441.24799999996
193,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",PAPAS,PAPAS Снеки ЧИПСЫ КУК.хр.вк.сл.чили 140г,PAPAS кук. Сладкий чили 140г,140,Чили,4699,487879.38999999926,0.6578599999999974,234382.5219999993
194,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",PAPAS,PAPAS Снеки ЧИПСЫ КУК.хр.вк.сыр чед.140г,PAPAS кук. Сыр чеддер 140г,140,Сыр,4535,463496.96999999887,0.6348999999999974,226092.04199999975
195,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",СырBall,СЫРBALL Шарики кук.со вк.чиз/п.чили 100г,СЫРBALL кук. Чизкейк и перец чили 100г,100,Чизкейк и чили,4509,495733.76999999856,0.4508999999999995,213362.2590000003
196,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",СырBall,СЫРBALL Шарики кукур.со вк.кап/пер.100г,СЫРBALL кук. Капечино с перцем 100г,100,Капучино и перец,3997,435246.409999998,0.3996999999999995,189004.05700000018
197,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",СырBall,СЫРBALL Шарики кукур.со вк.хачапури 140г,СЫРBALL кук. Хачапури 140г,140,Хачапури,21921,2275196.009999994,3.0689399999999987,1339908.5919999997
