,Период,Сеть,Категория,Категория 2,Поставщик,Бренд,Наименование,УНИ Наименование,Граммовка,Вкус,"Продажи, шт","Продажи, руб","Продажи, тонн","Себест., руб"
23,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Лоренц,Naturals,Чипсы Naturals Белые грибы 100г,NATURALS Белые грибы 100г,100,Грибы Белые,1677,197371.90579999992,0.1677,131789.27
24,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Лоренц,Naturals,Чипсы картофельные Naturals cо вкусом соуса песто,NATURALS Пето 100г,100,Песто,2151,251437.64330000003,0.2151,173631.45999999996
25,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Лоренц,Naturals,Чипсы картофельные Naturals Классические с солью 100г,NATURALS Соль 100г,100,Соль,6166,723588.2331000001,0.6165999999999999,503271.7799999998
26,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Лоренц,Naturals,Чипсы картофельные Naturals Морская соль/Перец 100г,NATURALS Морская соль и перец 100г,100,Соль и перец черный,2854,334498.7347,0.28540000000000004,230280.43000000002
27,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Лоренц,Naturals,Чипсы картофельные Naturals Паприка 100г,NATURALS Паприка 100г,100,Паприка,4565,536895.9161000001,0.4565,366994.76
28,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Лоренц,Naturals,Чипсы картофельные Naturals Пармезан 100г,NATURALS Пармезан 100г,100,Сыр,5029,589721.5948999999,0.5029,407190.83000000013
29,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,"""ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ""АО",Mister Potato,"Чипсы  Mister Potato оригинальные,160г",Mister Potato Оригинальные 160г,160,Оригинальные,603,110139.59000000003,0.09647999999999995,115649.88000000008
30,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,"""ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ""АО",Mister Potato,"Чипсы  Mister Potato с острым и пряным вкусом ,160г",Mister Potato Острый прянный вкус 160г,160,Острый пряный,596,111527.08,0.09536,113389.35000000002
31,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,"""ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ""АО",Mister Potato,"Чипсы  Mister Potato со вкусом барбекю,160г",Mister Potato Барбекю 160г,160,Барбекю,609,109254.90999999996,0.09744,113237.89
32,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,"""ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ""АО",Mister Potato,"Чипсы  Mister Potato со вкусом сметаны и лука,160г",Mister Potato Сметана и лук 160г,160,Сметана и лук,626,122459.57999999999,0.10016,118509.57000000002
