,Период,Сеть,Категория,Тип основы,Поставщики,Бренды,Наименование,УНИ Наименование,Граммовка,Вкусы,"Продажи, шт","Продажи, руб ","Продажи, тонн ","Себест., руб "
127,2024-09-01,Пятёрочка,Чипсы кукурузные,Кукурузные фигурные,"Zhejiang Xiaowangzi Food Co., Ltd",XIAOWANGZI,XIAOWANGZI Чипсы ОРИГИНАЛЬН.кукуруз.40г,XIAOWANGZI кук. Оригинальные 40г,40,Оригинальные,1339,109151.08000000009,0.05356,62382.852000000086
128,2024-09-01,Пятёрочка,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,CHEETOS Кукур.палочки СЫР 85г,CHEETOS кук. Сыр  85г,85,Сыр,131,12320.9,0.011135,6661.996000000001
129,2024-09-01,Пятёрочка,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,CHEETOS Палочки кук.вкус.Сыр 50г,CHEETOS кук. Сыр 50г,50,Сыр,1884636,97569469.71999976,94.2318,65774481.12399945
130,2024-09-01,Пятёрочка,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,CHEETOS Снеки кук.вкус.Ветчина и сыр 50г,CHEETOS кук. Ветчина и сыр 50г,50,Сыр и ветчина,19661,1129772.5,0.98305,694014.9809999994
131,2024-09-01,Пятёрочка,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,CHEETOS Снеки кукур.со вкусом Краб 50г,CHEETOS кук. Краб 50г,50,Краб,55,4289.83,0.00275,2234.034
132,2024-09-01,Пятёрочка,Чипсы кукурузные,Кукурузные фигурные,Фрито Лэй,CHEETOS,CHEETOS Снеки кукуруз.со вкусом Краб 85г,CHEETOS кук. Краб 85г,85,Краб,38130,3463244.529999998,3.24105,2126436.993999999
133,2024-09-01,Пятёрочка,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",СырBall,СЫРBALL Шарики кукуруз.со вк.сыра 140г,СЫРBALL кук. Сыр 140г,140,Сыр,42,4964.52,0.00588,1796.2669999999998
134,2024-09-01,Пятёрочка,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",Сырколбас,СЫРКОЛБ.Снеки кук.вкус.Гриль-колб.100г,Сырколбас кук. Гриль-колбаски 100г,100,Колбаски,266,36503.02,0.0266,19214.250000000004
135,2024-09-01,Пятёрочка,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",Сырколбас,СЫРКОЛБ.Снеки кук.вкус.Двойной сыр 100г,Сырколбас кук. Двойной сыр 100г,100,Сыр,315,42453.580000000016,0.0315,22231.858
136,2024-09-01,Пятёрочка,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",Сырколбас,СЫРКОЛБАС Снеки кук.вк.сыр/колбаса 100г,Сырколбас кук. Сыр и колбаса 100г,100,Сыр и колбаса,17,2527.36,0.0017,1201.8709999999999
137,2024-09-01,Пятёрочка,Чипсы кукурузные,Кукурузные фигурные,Юникорн ООО,HOLYCORN,HOLYCORN Снеки кукуруз.со вкус.Томат 50г,HOLYCORN кук. Томат 50г,50,Томат,2,172.0,0.0001,91.52
138,2024-09-01,Пятёрочка,Чипсы кукурузные,Кукурузные фигурные,Юникорн ООО,HOLYCORN,HOLYCORN Снеки кукуруз.со вкусом Сыр 50г,HOLYCORN кук. Сыр 50г,50,Сыр,4,412.17,0.0002,183.04
139,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные пластинки,Белпродукт ООО,MEGA CHIPS,MEGA CH.Мегачипсы карт.вк.норв.лобс.100г,MEGA CHIPS Норвежский лобстер 100г,100,Лобстер,112,8763.5,0.0112,2948.652
140,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные пластинки,Белпродукт ООО,MEGA CHIPS,MEGA CHIPS Чипсы СО ВК.КУРИЦЫ 100г,MEGA CHIPS Курица 100г,100,Курица,86,6887.74,0.0086,2348.3039999999996
141,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные пластинки,Белпродукт ООО,MEGA CHIPS,MEGA CHIPS Чипсы СО ВК.СМЕТАНЫ/ЛУКА 100г,MEGA CHIPS Сметана и лук 100г,100,Сметана и лук,173,14015.749999999998,0.0173,6189.204
142,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные пластинки,Белпродукт ООО,MEGA CHIPS,MEGA CHIPS Чипсы СО ВК.СМЕТАНЫ/СЫРА 100г,MEGA CHIPS Сметана и сыр 100г,100,Сметана и сыр,200,15899.330000000002,0.02,5979.732
143,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные пластинки,ИП Ланина А.В.,MULTICHIPS,MULTICHIPS Чипсы карт.вкус.см/лука 100г,MULTICHIPS Сметана и лук 100г,100,Сметана и лук,7416,354603.45999999996,0.7416,218386.36800000002
144,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные в пачке-чаше,Маревен Фуд Сэнтрал ООО,Big Bon,BIG BON Чип.карт.вк.Реб.гр.соус.Бар.105г,BigBon Ребрышки гриль и соус барбекю 105г,105,Ребрышки гриль,777,87783.26999999996,0.081585,49874.07600000001
145,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные в пачке-чаше,Маревен Фуд Сэнтрал ООО,Big Bon,BIG BON Чипсы карт.вк.См.зел.с.Чес.105г,BigBon Сметана и зелень с соусом чесночный 105г,105,Сметана и зелень,718,93814.49000000002,0.07539,46086.984
146,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,PRING.Чипсы ORIGINAL картофельные 165г,PRINGLES Оригинальные 165г,165,Оригинальные,11,3023.59,0.001815,2860.044
147,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,PRING.Чипсы СМЕТАНА И ЛУК картоф.165г,PRINGLES Сметана и лук 165г,165,Сметана и лук,19,5549.49,0.003135,4940.076
148,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,PRINGL.Чипсы ORIGINAL картофельн.165г,PRINGLES Оригинальные 165г,165,Оригинальные,3,1079.96,0.000495,638.316
149,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,PRINGL.Чипсы карт.со вкус.смет/лука 165г,PRINGLES Сметана и лук 165г,165,Сметана и лук,1,320.43,0.000165,212.772
150,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,PRINGL.Чипсы ПАПРИКА карт.165г,PRINGLES Паприка 165г,165,Паприка,49,14828.38,0.008085,7815.528
151,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные в тубе,Маревен Фуд Сэнтрал ООО,Big Bon,BIG BON Чипсы карт.вк.Смет/зел.лук 130г,Big Bon Сметана и лук 130г,130,Сметана и лук,1533,206241.67000000004,0.19929,110648.69999999998
152,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные в тубе,Маревен Фуд Сэнтрал ООО,Big Bon,BIG BON Чипсы карт.вкус.Снеж.краб 130г,Big Bon Снежный краб 130г,130,Краб,1303,162547.94999999995,0.16939,93938.30399999999
153,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные в тубе,Фрито Лэй,Lays STAX,LAYS Чипсы STAX карт.вк.Ар.реб.барб.140г,Lays STAX Ароматные ребрышки барбекю 140г,140,Ребрышки барбекю,76498,15412218.590000035,10.70972,11297216.627999945
154,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные в тубе,Фрито Лэй,Lays STAX,LAYS Чипсы STAX карт.вк.Неж.см/лук 140г,Lays STAX Нежная сметана и лук 140г,140,Сметана и лук,494385,98556962.62999962,69.2139,73057357.80000009
155,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные в тубе,Фрито Лэй,Lays STAX,LAYS Чипсы STAX карт.вкус.Пик.пап.140г,Lays STAX Пикантная паприка 140г,140,Паприка,70,15223.42,0.0098,9250.896
156,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"Zhejiang Xiaowangzi Food Co., Ltd",XIAOWANGZI,XIAOWANGZI Чипсы карт.вк.Итал.рагу 43г,XIAOWANGZI Итальянское рагу 43г,43,Рагу итальянское,1665,123499.17,0.071595,68051.88000000016
157,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"Zhejiang Xiaowangzi Food Co., Ltd",XIAOWANGZI,XIAOWANGZI Чипсы карт.вкус.Барбекю 43г,XIAOWANGZI Барбекю 43г,43,Барбекю,2292,169060.9400000002,0.098556,93678.62400000021
158,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"Zhejiang Xiaowangzi Food Co., Ltd",XIAOWANGZI,XIAOWANGZI Чипсы карт.со вкус.Томата 43г,XIAOWANGZI Томат 43г,43,Томат,1928,142992.97000000018,0.082904,78905.1600000002
159,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"Zhejiang Xiaowangzi Food Co., Ltd",XIAOWANGZI,XIAOWANGZI Чипсы ОРИГИНАЛЬНЫЕ картоф.43г,XIAOWANGZI Оригинальные 43г,43,Оригинальные,2553,191784.79000000024,0.109779,104346.21600000029
160,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,Комплекс-98 ООО,ДЕЛИКАТ,ДЕЛИКАТ Чипсы КРАБ карт.вкус.краба 100г,ДЕЛИКАТ Краб 100г,100,Краб,16,593.98,0.0016,448.128
161,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,Комплекс-98 ООО,ДЕЛИКАТ,ДЕЛИКАТ Чипсы ЛУК.КОЛ.СМЕТ/ЗЕЛ.карт.100г,ДЕЛИКАТ лук. кольца Сметана и зелень 100г,100,Сметана и зелень,430,17405.249999999993,0.043,10754.687999999996
162,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",TURBO DIESEL,TURBO DIES.Чипсы карт.вк.кур.крыл.гр.75г,TURBO DIESEL Куриные крылья гриль 75г,75,Курица,617,40681.8,0.046275,23700.589
163,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Луковые кольца,ЛУК.КОЛ.ЗОЛ.Снеки хруст.вк.смет/лука100г,Луковые кольца Сметана и лук 100г,100,Сметана и лук,579,73475.93999999999,0.0579,40383.904
164,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вк.зел.лука/см.190г,Русская картошка Сметана и лук 190г,190,Сметана и лук,379508,60986084.8699998,72.10652,29176741.21999988
165,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вк.Острый соус 200г,Русская картошка Острый соус 200г,200,Соус острый,811,121888.37000000018,0.1622,63209.37700000008
166,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вк.сметаны/лука 80г,Русская картошка Сметана и лук 80г,80,Сметана и лук,183,14802.199999999999,0.01464,7554.898999999999
167,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вкус.камч.краба 200г,Русская картошка Камчатскиий краб 200г,200,Краб,5308,708456.619999994,1.0616,410062.5649999989
168,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вкус.кур.гриль 200г,Русская картошка Курица гриль 200г,200,Курица,302,35912.01000000002,0.0604,30789.967999999986
169,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вкус.лука/смет.200г,Русская картошка Сметана и лук 200г,200,Сметана и лук,4610,664349.4299999953,0.922,357070.3289999998
170,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вкус.Остр.соус 190г,Русская картошка Острый соус 190г,190,Соус острый,91756,12726684.990000127,17.43364,6800882.010999958
171,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.со вкус.креветки 50г,Русская картошка Креветки 50г,50,Креветки,2,39.93,0.0001,62.964
172,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.со вкус.смет/укр.80г,Русская картошка Сметана и укроп 80г,80,Сметана и укроп,69,6422.13,0.00552,2998.457
173,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.со вкусом краба 190г,Русская картошка Камчатскиий краб 190г,190,Краб,281448,42412955.96000001,53.47512,21341520.430999972
174,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.со вкусом кревет.80г,Русская картошка Креветки 80г,80,Креветки,17,1586.26,0.00136,636.207
175,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы картоф.вкус.жар.кур.190г,Русская картошка Жареная курица 190г,190,Курица,17964,3423846.270000012,3.41316,1896592.291000002
176,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,"Чипсы ""Рус.карт."" курица 28/20г",Русская картошка Жареная курица 20г,20,Курица,1,41.19,2e-05,5.604
177,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные рифленые,Фрито Лэй,Лейз из печи,LAYS Чипс.карт.вк.лис.в см.85г,Лейз из печи Лисички в сметане 85г,85,Сметана и Грибы Лисички,1118173,114713412.12000059,95.044705,70658114.02800018
178,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные рифленые,Фрито Лэй,Лейз из печи,LAYS Чипсы карт.со вкус.неж.сыр зел.85г,Лейз из печи Нежный сыр и зелень 85г,85,Сыр и зелень,398810,40826444.350000285,33.89885,25063286.28000003
179,2024-09-01,Пятёрочка,Чипсы прессованные,Прессованные рифленые,Фрито Лэй,Лейз из печи,LAYS Чипсы картофельные вкус.Хамон 81г,Лейз из печи Хамон 81г,81,Хамон,45,5355.32,0.003645,3258.072
180,2024-09-01,Пятёрочка,Чипсы прочие,Кукурузно-рисовые,Зеленая линия,Зеленая линия,ЗЕЛ.ЛИН.Флайчипсы зер.кук-рис.с сол.40г,Зеленая линия Флайчипсы зер.кук-рис. Соль 40г,40,Соль,14,1324.1,0.00056,604.6039999999999
181,2024-09-01,Пятёрочка,Чипсы прочие,Кукурузно-рисовые,Зеленая линия,Зеленая линия,ЗЕЛ.ЛИН.Флайчипсы зерн.с том/олив.40г,Зеленая линия Флайчипсы зер.кук-рис. Томат и оливки 40г,40,Томат и оливки,9,815.44,0.00036,379.665
182,2024-09-01,Пятёрочка,Чипсы прочие,Кукурузно-рисовые,"ООО ""СЛАДОСТИ ДЛЯ РАДОСТИ""",RICE UP!,RICE UP! Чипсы ц/зерн.вк.вас.бур.рис.60г,RICE UP! Чипсы ц/зерн.вк. Васаби 60г,60,Васаби,3,495.58000000000004,0.00018,299.916
183,2024-09-01,Пятёрочка,Чипсы прочие,Кукурузно-рисовые,"ООО ""СЛАДОСТИ ДЛЯ РАДОСТИ""",RICE UP!,RICE UP! Чипсы ц/зерн.вк.кет.бур.рис.60г,RICE UP! Чипсы ц/зерн.вк. Кетчуп 60г,60,Кетчуп,1,170.0,6e-05,101.316
184,2024-09-01,Пятёрочка,Чипсы прочие,Кукурузно-рисовые,Хлебпром ОАО,Dr.Korner ,DR.KORNER Чип.кук-рис.тайс.ос.сл.пер.50г,Dr.Korner Тайский перец 50г,50,Перец тайский,1271,83118.72999999998,0.06355,48914.997999999985
185,2024-09-01,Пятёрочка,Чипсы прочие,Кукурузно-рисовые,Хлебпром ОАО,Dr.Korner ,DR.KORNER Чипсы кук/рис.олив.мас/роз.50г,Dr.Korner Оливковое масло и розмарин 50г,50,Розмарин и оливковое масло,1,57.99,5e-05,28.556
186,2024-09-01,Пятёрочка,Чипсы прочие,Кукурузно-рисовые,Хлебпром ОАО,Dr.Korner ,DR.KORNER Чипсы кук-рис.смет/зел.лук.50г,Dr.Korner Зеленый лук 50г,50,Зеленый лук,1474,95884.90000000001,0.0737,56673.08899999999
187,2024-09-01,Пятёрочка,Чипсы прочие,Кукурузно-рисовые,Хлебпром ОАО,Dr.Korner ,DR.KORNER Чипсы кукурузно-рис.с сыр.50г,Dr.Korner Сыр 50г,50,Сыр,2,120.58,0.0001,62.326
188,2024-09-01,Пятёрочка,Чипсы прочие,Кукурузно-рисовые,Хлебпром ОАО,Dr.Korner ,DR.KORNER Чипсы ц/з кук-рис.сыр.начо 50г,Dr.Korner Сыр 50г,50,Сыр,51,3056.4700000000003,0.00255,1498.9810000000002
189,2024-09-01,Пятёрочка,Чипсы прочие,Нутовые,Шеллдон ООО,Don Shelldon,DON SHELLD.Чипсы НУТСЫ вкус.Смет/зел.50г,Don Shelldon нут. Сметана и зелень 50г,50,Сметана и зелень,5,462.20000000000005,0.00025,302.4
190,2024-09-01,Пятёрочка,Чипсы прочие,Нутовые,Шеллдон ООО,Don Shelldon,DON SHELLD.Чипсы НУТСЫ вкус.Сыр Чедд.50г,Don Shelldon нут. Сыр чеддер 50г,50,Сыр,10,859.19,0.0005,604.8
191,2024-09-01,Пятёрочка,Чипсы прочие,Овощные,"Zhejiang Xiaowangzi Food Co., Ltd",YamChip,Чипсы ОРИГИНАЛЬНЫЕ с бататом 90г,YamChip батат Оригинальные  90г,90,Оригинальные,11734,1287773.3999999985,1.05606,630496.1519999995
192,2024-09-01,Пятёрочка,Чипсы прочие,Овощные,"Zhejiang Xiaowangzi Food Co., Ltd",YamChip,Чипсы с батат.вкус.говяд/чер.перца 90г,YamChip батат Говядина и черный перец 90г,90,Говядина и перец черный,9565,1065417.7799999984,0.86085,513189.4079999992
193,2024-09-01,Пятёрочка,Чипсы прочие,Овощные,"Zhejiang Xiaowangzi Food Co., Ltd",YamChip,Чипсы с бататом со вкусом зел.лука 90г,YamChip бата Зеленый лук 90г,90,Лук,12125,1339332.8599999954,1.09125,650591.7000000005
194,2024-09-01,Пятёрочка,Чипсы прочие,Овощные,"Zhejiang Xiaowangzi Food Co., Ltd",YamChip,Чипсы с бататом со вкусом томата 90г,YamChip батат Томат 90г,90,Томат,16974,1890007.1999999948,1.52766,911328.8040000007
195,2024-09-01,Пятёрочка,Чипсы прочие,Овощные,"ООО ""ЭВЕРЕСТ""",REEEL,REEEL Чипсы БАТАТ-СЫР ЧЕДДЕР натур.30г,REEEL батат Сыр чеддер 30г,30,Сыр,1331,106583.44000000013,0.03993,68465.13600000001
196,2024-09-01,Пятёрочка,Чипсы прочие,Пшеничные,Восточная снековая компания ООО,Binggrae,BINGGRAE Чипсы ЗЯКИ-ЗЯКИ 50г,BINGGRAE Чипсы ЗЯКИ-ЗЯКИ 50г,50,Говядина,12060,834141.0999999989,0.603,604598.0639999998
197,2024-09-01,Пятёрочка,Чипсы прочие,Пшеничные,Восточная снековая компания ООО,Binggrae,BINGGRAE Чипсы КРАБ ЧИПСЫ вк.краба 130г,BINGGRAE Краб  130г,130,Краб,50100,9284012.240000011,6.513,5365406.676000006
198,2024-09-01,Пятёрочка,Чипсы прочие,Пшеничные,Восточная снековая компания ООО,Binggrae,BINGGRAE Чипсы КРАБ ЧИПСЫ хруст.50г,BINGGRAE Краб 50г,50,Краб,260982,20118004.890000068,13.0491,12214288.979999973
199,2024-09-01,Пятёрочка,Чипсы прочие,Пшеничные,Восточная снековая компания ООО,Binggrae,BINGGRAE Чипсы ВАСАБИ хрус.вк.вас.40г,BINGGRAE Васаби 40г,40,Васаби,946,86751.33,0.03784,47502.816
200,2024-09-01,Пятёрочка,Чипсы прочие,Пшеничные,Восточная снековая компания ООО,Binggrae,BINGGRAE Чипсы МОР.КАП.ЧИП.вк.мор.кап40г,BINGGRAE Морская капуста 40г,40,Морская капуста,1628,145493.31000000006,0.06512,80681.82000000002
201,2024-09-01,Пятёрочка,Чипсы прочие,Пшеничные,"ООО ""5Д""",5D,5D Чипсы пшен.вкус.стейк на углях 200г,5D пшен. Стейк на углях 200г,200,Стейк,1642,144228.78000000003,0.3284,77506.13200000001
202,2024-09-01,Пятёрочка,Чипсы прочие,Пшеничные,"ООО ""5Д""",5D,5D Чипсы пшен.со вкус.сметана и лук 200г,5D пшен. Сметана и лук 200г,200,Сметана и лук,1635,139233.67,0.327,76838.564
203,2024-09-01,Пятёрочка,Чипсы прочие,Пшеничные,"ООО ""ТРЕЙДБЕРРИ""",Free Ride,FR.RIDE Чипсы пш.вк.ростбифа с хрен.50г,Free Ride Ростбиф с хреном 50г,50,Хрен и ростбиф,1,47.39,5e-05,24.75
204,2024-09-01,Пятёрочка,Чипсы прочие,Пшеничные,"ООО ""ТРЕЙДБЕРРИ""",Free Ride,FR.RIDE Чипсы пш.со вк.бекона 50г,Free Ride Бекон 50г,50,Бекон,1,39.49,5e-05,24.75
