store_id,retail_chain,region_name,city_name,address,store_code,store_name,store_format,full_address,lat,lon,geo_precision,geo_found_address,store_key
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Балканская пл., 5 лит.О,п.1Н",59.830761,30.377421,exact,"Россия, Санкт-Петербург, Балканская площадь, 5литО",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Белы Куна ул, 3 Лит.А",59.870014,30.379325,exact,"Россия, Санкт-Петербург, улица Белы Куна, 3",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Богатырский пр-кт, 54/32 лА,чп1Н",60.006179,30.21063,number,"Россия, Санкт-Петербург, Богатырский проспект, 54/32",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Богатырский пр-т, 7 1,л.А",59.999494,30.283259,number,"Россия, Санкт-Петербург, Богатырский проспект, 7А",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Большая Разночинная ул, 16 лит.А",59.959332,30.290113,exact,"Россия, Санкт-Петербург, Большая Разночинная улица, 16",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Большевиков пр-кт, 27 лит.А",59.90052,30.485874,exact,"Россия, Санкт-Петербург, проспект Большевиков, 27",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Большевиков пр-кт, 32 к.1,л.А",59.895457,30.493366,number,"Россия, Санкт-Петербург, проспект Большевиков, 32к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Большой В.О. пр-кт, 68 Лит.А",59.932022,30.260191,exact,"Россия, Санкт-Петербург, Большой проспект Васильевского острова, 68",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Бухарестская ул, 32 лАп2Н,ч.п2",59.892383,30.35993,near,"Россия, Санкт-Петербург, Бухарестская улица, 6",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Бухарестская ул, 89 лА,п1Н-5Н,",59.952497,30.290886,number,"Россия, Санкт-Петербург, Большой проспект Петроградской стороны, 1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Васи Алексеева ул, 4 с.1,ч.п.35",59.880369,30.264556,number,"Россия, Санкт-Петербург, улица Васи Алексеева, 4",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Ветеранов пр-кт, 169 к4с1п5-Н",59.840356,30.114214,exact,"Россия, Санкт-Петербург, проспект Ветеранов, 169к4",
